,Alt,Time,P,T,Hu,Ws,Wd,Long,Lat,Geopot,MRI,RI,Dewp.,Virt,Rs,Elevation,Azimuth,Range,D,U,V,Ufiltered,Vfiltered,Tpotential,bv2,TemperatureFiltered
3459,17480,4030.4,83.6,-61.7,2.0,29.96,310.0,-79.67789499999999,41.714584200000004,17427.0,2775.2304,30.8294,-87.4,-61.7,4.9,13.4,116.0,73029.6,0.1377604,19.257916786208717,22.950691515844586,1.9450270699060175,-3.7217667012604774,432.02187762133065,0.00040240310303494306,-2.9678817830911366
3460,17485,4031.4,83.56,-61.74,2.0,29.86,310.0,-79.67763,41.7144176,17432.0,2775.975,30.8108,-87.4,-61.74,4.9,13.4,116.0,73058.2,0.137676,19.193638025240062,22.874087071532685,1.9111752442827363,-3.751745585386181,431.99966256091506,-0.00010085902425621739,-2.9707918099012973
3461,17490,4032.4,83.46000000000001,-61.8,2.0,29.76,310.0,-79.677365,41.7142512,17436.6,2776.7156,30.792,-87.44,-61.8,4.9,13.4,116.0,73086.6,0.1375902,19.129359264271407,22.79748262722079,1.8756440522833424,-3.78083379093878,432.0255666924813,0.00011760079560509412,-2.9735731856944185
3462,17495,4033.4,83.4,-61.8,2.0,29.7,310.0,-79.6771,41.7140846,17441.0,2777.459,30.7724,-87.5,-61.8,4.86,13.4,116.0,73115.2,0.1375032,19.090792007690215,22.75151996063365,1.838442333110649,-3.809028210518917,432.1144354628505,0.00040336765237103313,-2.9762265407158925
3463,17500,4034.4,83.36,-61.839999999999996,2.0,29.66,310.0,-79.676835,41.7139182,17446.0,2778.1936,30.753,-87.5,-61.839999999999996,4.8,13.4,116.0,73143.6,0.1374162,19.065080503302756,22.72087818290889,1.7995812883340028,-3.836327925744112,432.09231918715557,-0.0001003889980973499,-2.9787519715672346
3464,17505,4035.5,83.25,-61.9,2.0,29.55,310.0,-79.67654300000001,41.713735,17451.5,2779.009,30.7315,-87.5,-61.9,4.8,13.4,116.0,73175.0,0.13732100000000003,18.994373866237236,22.636613294165805,1.7590748773710843,-3.8627335476114313,432.13337115664626,0.0001863231694087297,-2.9811489491721015
3465,17510,4036.6,83.2,-61.9,2.0,29.5,310.0,-79.67625100000001,41.713552400000005,17457.0,2779.8250000000003,30.7106,-87.56,-61.9,4.8,13.4,116.0,73205.8,0.1372276,18.96223448575291,22.598311072009853,1.7169395059984636,-3.8882473979031844,432.20762815052706,0.000336973390385177,-2.9834167561181357
3466,17515,4037.6,83.14,-61.96,2.0,29.439999999999998,310.0,-79.67598600000001,41.7133858,17461.4,2780.56,30.6922,-87.6,-61.96,4.8,13.4,116.0,73234.4,0.13714420000000002,18.923667229171713,22.552348405422713,1.6731938548916014,-3.912873522577222,432.1746082863709,-0.00014985343637410265,-2.9855543723001357
3467,17520,4038.6,83.03999999999999,-62.0,2.0,29.279999999999998,310.0,-79.675721,41.7132194,17466.0,2781.3034,30.673,-87.6,-62.0,4.86,13.4,116.0,73262.8,0.1370588,18.82082121162187,22.42978129452368,1.62785871288711,-3.9366176987420967,432.241893192864,0.0003053103082563654,-2.9875605001412078
3468,17525,4039.6,83.0,-62.0,2.0,29.14,310.0,-79.675456,41.7130528,17471.0,2782.062,30.653,-87.66,-62.0,4.9,13.4,116.0,73291.4,0.13697,18.730830946265755,22.322535072487025,1.5809558529837786,-3.95948858200135,432.30145941865027,0.0002702489734328489,-2.989433719167369
3469,17530,4040.6,82.94,-62.0,2.0,28.98,310.0,-79.675191,41.7128864,17476.0,2782.8174,30.6324,-87.7,-62.0,4.9,13.4,116.0,73319.8,0.13688,18.627984928715907,22.199967961587987,1.5325069026943035,-3.9814988604063473,432.3908780103342,0.00040560376119500377,-2.9911717189023923
3470,17535,4041.6,82.84,-62.06,2.0,28.84,310.0,-79.674926,41.7127198,17481.0,2783.5754,30.612,-87.76,-62.06,4.9,13.4,116.0,73348.4,0.13679,18.537994663359793,22.09272173955133,1.4825330911579808,-4.002665363717577,432.4177635576116,0.00012194556950610009,-2.9927708510188054
3471,17540,4042.6,82.8,-62.1,2.0,28.74,310.0,-79.674661,41.712553400000004,17486.0,2784.3304,30.5914,-87.8,-62.1,4.9,13.4,116.0,73376.8,0.1366994,18.473715902391138,22.01611729523943,1.4310556008646258,-4.023008452614468,432.3959330318706,-9.902235840046676e-05,-2.9942270201673318
3472,17545,4043.6,82.74,-62.1,2.0,28.64,309.4,-79.674396,41.7123868,17491.0,2785.0794,30.5704,-87.86,-62.1,4.9,13.4,116.0,73405.4,0.136609,18.178681898112938,22.13108954496414,1.3780948099799373,-4.0425496947751,432.48558729963446,0.00040658373401816273,-2.995536251465188
3473,17550,4044.75,82.625,-62.175000000000004,2.0,28.525,309.0,-79.67409125,41.7121955,17496.75,2785.92875,30.547,-87.9,-62.175000000000004,4.825,13.4,116.0,73438.0,0.1365085,17.951364154696613,22.16808855056009,1.3236669457528563,-4.061307818924859,432.5046318099724,8.636339755441196e-05,-2.9966944032587124
3474,17555,4045.8,82.6,-62.2,2.0,28.419999999999998,309.0,-79.6738122,41.7120204,17501.2,2786.7111999999997,30.526,-87.98,-62.2,4.8,13.4,116.0,73468.2,0.1364166,17.88528551363638,22.08648822460711,1.2677825069342332,-4.079297256594487,432.49105278551724,-6.158034452533214e-05,-2.9976974222935007
